name,description,price,stock,categoryId,locationId
Product_146,Description_146,272,00,70,2,2
Product_147,Description_147,54,00,6,1,2
Product_148,Description_148,171,00,57,2,2
Product_149,Description_149,425,00,96,3,1
Product_150,Description_150,49,00,69,2,1
Product_151,Description_151,370,00,8,3,2
Product_152,Description_152,87,00,59,4,2
Product_153,Description_153,235,00,60,3,2
Product_154,Description_154,328,00,76,1,1
Product_155,Description_155,364,00,59,2,1
Product_156,Description_156,493,00,19,2,1
Product_157,Description_157,119,00,13,3,2
Product_158,Description_158,295,00,95,1,1
Product_159,Description_159,210,00,49,2,1
Product_160,Description_160,341,00,30,4,1
Product_161,Description_161,64,00,89,2,2
Product_162,Description_162,206,00,66,3,2
Product_163,Description_163,170,00,58,2,2
Product_164,Description_164,279,00,9,2,1
Product_165,Description_165,144,00,18,2,1
Product_166,Description_166,268,00,4,4,1
Product_167,Description_167,309,00,97,2,1
Product_168,Description_168,137,00,39,3,1
Product_169,Description_169,175,00,71,1,2
Product_170,Description_170,99,00,64,4,2
Product_171,Description_171,150,00,97,1,2
Product_172,Description_172,52,00,5,4,1
Product_173,Description_173,324,00,52,1,1
Product_174,Description_174,269,00,89,4,2
Product_175,Description_175,391,00,93,3,1
Product_176,Description_176,407,00,78,4,2
Product_177,Description_177,342,00,48,2,2
Product_178,Description_178,218,00,22,2,2
Product_179,Description_179,327,00,58,3,1
Product_180,Description_180,94,00,7,1,2
Product_181,Description_181,203,00,62,4,1
Product_182,Description_182,335,00,79,2,1
Product_183,Description_183,299,00,81,2,1
Product_184,Description_184,481,00,63,2,1
Product_185,Description_185,379,00,83,1,1
Product_186,Description_186,94,00,86,3,2
Product_187,Description_187,440,00,95,4,1
Product_188,Description_188,232,00,45,1,1
Product_189,Description_189,122,00,12,1,2
Product_190,Description_190,88,00,58,3,2
Product_191,Description_191,370,00,80,3,1
Product_192,Description_192,340,00,85,3,1
Product_193,Description_193,154,00,38,3,1
Product_194,Description_194,64,00,35,2,2
Product_195,Description_195,377,00,46,1,1
Product_196,Description_196,132,00,7,3,1
Product_197,Description_197,109,00,38,4,1
Product_198,Description_198,326,00,2,4,1
Product_199,Description_199,241,00,40,3,1
Product_200,Description_200,62,00,88,3,1
Product_201,Description_201,380,00,95,2,2
Product_202,Description_202,18,00,94,1,1
Product_203,Description_203,24,00,61,2,2
Product_204,Description_204,253,00,65,3,1
Product_205,Description_205,217,00,2,3,1
Product_206,Description_206,376,00,38,3,2
Product_207,Description_207,107,00,36,3,2
Product_208,Description_208,364,00,7,3,1
Product_209,Description_209,191,00,30,2,1
Product_210,Description_210,110,00,91,2,2
Product_211,Description_211,403,00,3,1,1
Product_212,Description_212,104,00,96,2,2
Product_213,Description_213,323,00,70,3,1
Product_214,Description_214,140,00,69,4,2
Product_215,Description_215,402,00,78,4,1
Product_216,Description_216,28,00,60,2,2
Product_217,Description_217,58,00,34,3,1
Product_218,Description_218,288,00,67,3,1
Product_219,Description_219,257,00,53,3,2
Product_220,Description_220,134,00,73,4,2
Product_221,Description_221,28,00,87,2,2
Product_222,Description_222,361,00,66,1,2
Product_223,Description_223,407,00,45,3,2
Product_224,Description_224,126,00,41,3,1
Product_225,Description_225,68,00,22,3,1
Product_226,Description_226,36,00,46,1,1
Product_227,Description_227,221,00,91,1,1
Product_228,Description_228,79,00,42,2,1
Product_229,Description_229,393,00,79,2,1
Product_230,Description_230,103,00,54,3,1
Product_231,Description_231,472,00,99,3,2
Product_232,Description_232,401,00,46,3,1
Product_233,Description_233,62,00,70,1,1
Product_234,Description_234,44,00,81,2,1
Product_235,Description_235,47,00,52,4,2
Product_236,Description_236,291,00,83,3,2
Product_237,Description_237,59,00,61,3,2
Product_238,Description_238,446,00,8,3,1
Product_239,Description_239,362,00,19,4,1
Product_240,Description_240,173,00,68,4,1
Product_241,Description_241,478,00,87,4,1
Product_242,Description_242,338,00,31,3,1
Product_243,Description_243,456,00,44,1,2
Product_244,Description_244,42,00,8,1,1
Product_245,Description_245,288,00,21,1,2
Product_246,Description_246,205,00,93,1,2
Product_247,Description_247,402,00,25,2,2
Product_248,Description_248,326,00,11,4,2
Product_249,Description_249,319,00,15,3,2
Product_250,Description_250,426,00,82,3,2
Product_251,Description_251,372,00,3,3,2
Product_252,Description_252,119,00,19,2,2
Product_253,Description_253,417,00,6,3,2
Product_254,Description_254,276,00,98,3,1
Product_255,Description_255,323,00,57,4,1
Product_256,Description_256,42,00,3,4,2
Product_257,Description_257,271,00,17,4,1
Product_258,Description_258,26,00,17,2,1
Product_259,Description_259,282,00,24,4,2
Product_260,Description_260,367,00,57,4,2
Product_261,Description_261,213,00,72,4,2
Product_262,Description_262,442,00,1,2,2
Product_263,Description_263,87,00,52,2,1
Product_264,Description_264,455,00,41,2,1
Product_265,Description_265,271,00,93,4,2
Product_266,Description_266,470,00,96,1,1
Product_267,Description_267,256,00,53,2,2
Product_268,Description_268,421,00,6,1,1
Product_269,Description_269,341,00,2,4,1
Product_270,Description_270,12,00,58,3,1
Product_271,Description_271,123,00,71,2,2
Product_272,Description_272,199,00,36,3,2
Product_273,Description_273,370,00,52,1,2
Product_274,Description_274,377,00,93,2,1
Product_275,Description_275,345,00,52,3,1
Product_276,Description_276,387,00,49,2,2
Product_277,Description_277,452,00,87,2,2
Product_278,Description_278,416,00,84,3,1
Product_279,Description_279,159,00,19,2,1
Product_280,Description_280,448,00,12,1,2
Product_281,Description_281,293,00,2,3,2
Product_282,Description_282,445,00,5,2,1
Product_283,Description_283,170,00,70,3,2
Product_284,Description_284,487,00,1,2,1
Product_285,Description_285,385,00,50,2,2
Product_286,Description_286,54,00,28,2,1
Product_287,Description_287,74,00,12,2,1
Product_288,Description_288,437,00,20,4,1
Product_289,Description_289,354,00,94,1,2
Product_290,Description_290,295,00,90,1,1
Product_291,Description_291,193,00,57,2,2
Product_292,Description_292,254,00,22,1,1
Product_293,Description_293,427,00,60,4,1
Product_294,Description_294,30,00,61,4,2
Product_295,Description_295,289,00,9,2,1
Product_296,Description_296,68,00,32,1,1
Product_297,Description_297,398,00,50,2,2
Product_298,Description_298,95,00,49,4,2
Product_299,Description_299,131,00,28,2,1
Product_300,Description_300,259,00,99,3,2
Product_301,Description_301,241,00,51,1,2
Product_302,Description_302,263,00,95,2,1
Product_303,Description_303,367,00,40,1,2
Product_304,Description_304,81,00,26,3,2
Product_305,Description_305,402,00,26,4,2
Product_306,Description_306,318,00,81,3,1
Product_307,Description_307,156,00,71,3,1
Product_308,Description_308,305,00,21,2,2
Product_309,Description_309,115,00,92,3,2
Product_310,Description_310,126,00,50,4,1
Product_311,Description_311,25,00,6,3,2
Product_312,Description_312,489,00,44,2,1
Product_313,Description_313,387,00,34,1,2
Product_314,Description_314,226,00,71,1,1
Product_315,Description_315,76,00,65,1,1
Product_316,Description_316,250,00,19,4,1
Product_317,Description_317,156,00,18,1,1
Product_318,Description_318,135,00,33,2,1
Product_319,Description_319,351,00,45,2,1
Product_320,Description_320,371,00,49,1,2
Product_321,Description_321,283,00,95,3,2
Product_322,Description_322,16,00,69,2,2
Product_323,Description_323,441,00,48,4,2
Product_324,Description_324,257,00,63,3,1
Product_325,Description_325,451,00,29,4,2
Product_326,Description_326,45,00,48,4,1
Product_327,Description_327,367,00,30,4,2
Product_328,Description_328,261,00,24,1,1
Product_329,Description_329,474,00,85,2,1
Product_330,Description_330,211,00,87,2,1
Product_331,Description_331,177,00,1,4,1
Product_332,Description_332,331,00,40,1,2
Product_333,Description_333,419,00,73,4,1
Product_334,Description_334,121,00,65,3,2
Product_335,Description_335,273,00,1,3,2
Product_336,Description_336,370,00,18,4,1
Product_337,Description_337,454,00,55,4,1
Product_338,Description_338,337,00,30,1,2
Product_339,Description_339,239,00,77,2,1
Product_340,Description_340,245,00,61,4,1
Product_341,Description_341,350,00,5,2,1
Product_342,Description_342,331,00,81,2,2
Product_343,Description_343,429,00,22,2,1
Product_344,Description_344,296,00,90,4,2
Product_345,Description_345,491,00,91,3,2
Product_346,Description_346,448,00,52,2,2
Product_347,Description_347,159,00,59,2,1
Product_348,Description_348,350,00,46,4,2
Product_349,Description_349,486,00,83,3,2
Product_350,Description_350,496,00,50,2,2
Product_351,Description_351,239,00,98,1,2
Product_352,Description_352,371,00,34,4,1
Product_353,Description_353,13,00,44,1,1
Product_354,Description_354,31,00,5,1,2
Product_355,Description_355,222,00,16,4,2
Product_356,Description_356,81,00,18,1,2
Product_357,Description_357,71,00,22,1,1
Product_358,Description_358,442,00,55,2,2
Product_359,Description_359,92,00,40,2,1
Product_360,Description_360,13,00,16,1,2
Product_361,Description_361,287,00,44,4,1
Product_362,Description_362,66,00,89,1,2
Product_363,Description_363,56,00,27,2,2
Product_364,Description_364,330,00,82,4,1
Product_365,Description_365,109,00,72,3,1
Product_366,Description_366,431,00,64,4,1
Product_367,Description_367,376,00,84,4,2
Product_368,Description_368,370,00,12,1,2
Product_369,Description_369,432,00,74,3,2
Product_370,Description_370,414,00,64,2,2
Product_371,Description_371,206,00,46,1,2
Product_372,Description_372,221,00,58,4,2
Product_373,Description_373,58,00,45,3,1
Product_374,Description_374,461,00,23,4,1
Product_375,Description_375,276,00,79,3,2
Product_376,Description_376,121,00,32,1,1
Product_377,Description_377,159,00,63,4,2
Product_378,Description_378,197,00,15,4,2
Product_379,Description_379,100,00,25,2,1
Product_380,Description_380,132,00,5,3,1
Product_381,Description_381,165,00,60,2,2
Product_382,Description_382,411,00,98,2,1
Product_383,Description_383,490,00,41,1,2
Product_384,Description_384,479,00,91,3,1
Product_385,Description_385,174,00,66,2,2
Product_386,Description_386,398,00,65,2,2
Product_387,Description_387,312,00,15,4,1
Product_388,Description_388,55,00,53,2,2
Product_389,Description_389,458,00,67,3,1
Product_390,Description_390,472,00,39,1,2
Product_391,Description_391,493,00,99,4,1
Product_392,Description_392,346,00,97,4,2
Product_393,Description_393,401,00,38,1,2
Product_394,Description_394,83,00,30,3,1
Product_395,Description_395,36,00,58,3,2
Product_396,Description_396,76,00,95,4,2
Product_397,Description_397,412,00,28,1,2
Product_398,Description_398,255,00,85,3,1
Product_399,Description_399,171,00,74,1,2
Product_400,Description_400,459,00,23,3,2
Product_401,Description_401,104,00,27,1,1
Product_402,Description_402,452,00,97,3,2
Product_403,Description_403,155,00,39,4,1
Product_404,Description_404,84,00,41,4,1
Product_405,Description_405,228,00,68,4,2
Product_406,Description_406,85,00,34,4,1
Product_407,Description_407,267,00,45,4,2
Product_408,Description_408,42,00,68,2,1
Product_409,Description_409,162,00,32,1,1
Product_410,Description_410,254,00,35,1,2
Product_411,Description_411,496,00,36,3,1
Product_412,Description_412,359,00,45,1,1
Product_413,Description_413,443,00,94,4,2
Product_414,Description_414,395,00,84,2,1
Product_415,Description_415,318,00,85,4,2
Product_416,Description_416,423,00,32,2,2
Product_417,Description_417,468,00,11,4,2
Product_418,Description_418,142,00,89,3,1
Product_419,Description_419,320,00,70,3,1
Product_420,Description_420,378,00,57,4,2
Product_421,Description_421,256,00,16,1,2
Product_422,Description_422,499,00,21,4,1
Product_423,Description_423,208,00,87,4,2
Product_424,Description_424,336,00,55,1,2
Product_425,Description_425,484,00,73,1,1
Product_426,Description_426,454,00,1,1,1
Product_427,Description_427,479,00,54,1,1
Product_428,Description_428,307,00,45,4,2
Product_429,Description_429,285,00,85,4,1
Product_430,Description_430,130,00,20,3,1
Product_431,Description_431,11,00,69,1,1
Product_432,Description_432,226,00,22,1,1
Product_433,Description_433,275,00,80,3,1
Product_434,Description_434,402,00,62,3,2
Product_435,Description_435,157,00,97,2,2
Product_436,Description_436,352,00,92,2,2
Product_437,Description_437,288,00,8,4,1
Product_438,Description_438,474,00,69,3,1
Product_439,Description_439,257,00,99,2,1
Product_440,Description_440,110,00,57,3,2
Product_441,Description_441,298,00,3,2,2
Product_442,Description_442,217,00,26,3,1
Product_443,Description_443,76,00,7,1,2
Product_444,Description_444,247,00,72,2,1
Product_445,Description_445,259,00,7,3,2
Product_446,Description_446,352,00,10,3,1
Product_447,Description_447,201,00,55,3,2
Product_448,Description_448,156,00,5,1,2
Product_449,Description_449,332,00,46,1,1
Product_450,Description_450,198,00,97,2,2
Product_451,Description_451,32,00,37,1,1
Product_452,Description_452,489,00,66,3,2
Product_453,Description_453,142,00,88,3,2
Product_454,Description_454,60,00,72,4,2
Product_455,Description_455,215,00,16,4,1
Product_456,Description_456,152,00,26,2,2
Product_457,Description_457,224,00,24,3,1
Product_458,Description_458,105,00,9,1,1
Product_459,Description_459,311,00,37,1,1
Product_460,Description_460,225,00,12,4,2
Product_461,Description_461,447,00,44,1,1
Product_462,Description_462,337,00,17,2,2
Product_463,Description_463,126,00,26,3,2
Product_464,Description_464,177,00,98,4,1
Product_465,Description_465,273,00,65,4,1
Product_466,Description_466,264,00,83,3,1
Product_467,Description_467,334,00,30,3,1
Product_468,Description_468,450,00,67,1,2
Product_469,Description_469,447,00,7,3,2
Product_470,Description_470,174,00,46,1,2
Product_471,Description_471,283,00,72,4,1
Product_472,Description_472,74,00,65,2,2
Product_473,Description_473,69,00,41,1,1
Product_474,Description_474,294,00,57,2,2
Product_475,Description_475,313,00,90,2,1
Product_476,Description_476,299,00,38,1,1
Product_477,Description_477,57,00,58,1,1
Product_478,Description_478,227,00,45,2,1
Product_479,Description_479,207,00,4,3,2
Product_480,Description_480,456,00,15,4,1
Product_481,Description_481,323,00,97,2,1
Product_482,Description_482,35,00,3,3,2
Product_483,Description_483,314,00,58,2,2
Product_484,Description_484,455,00,10,2,1
Product_485,Description_485,302,00,43,1,2
Product_486,Description_486,444,00,96,4,2
Product_487,Description_487,444,00,95,4,2
Product_488,Description_488,462,00,67,2,2
Product_489,Description_489,378,00,63,4,2
Product_490,Description_490,489,00,54,1,1
Product_491,Description_491,170,00,99,2,2
Product_492,Description_492,279,00,3,3,1
Product_493,Description_493,356,00,21,2,2
Product_494,Description_494,446,00,18,1,1
Product_495,Description_495,386,00,66,4,2
Product_496,Description_496,384,00,6,1,1
Product_497,Description_497,55,00,18,2,2
Product_498,Description_498,378,00,2,4,1
Product_499,Description_499,13,00,84,4,1
Product_500,Description_500,175,00,72,3,1
Product_501,Description_501,202,00,97,3,1
Product_502,Description_502,273,00,35,3,1
Product_503,Description_503,21,00,7,4,1
Product_504,Description_504,30,00,16,3,2
Product_505,Description_505,357,00,98,1,2
Product_506,Description_506,492,00,60,2,1
Product_507,Description_507,379,00,80,3,2
Product_508,Description_508,205,00,54,3,2
Product_509,Description_509,101,00,79,1,2
Product_510,Description_510,232,00,7,4,1
Product_511,Description_511,486,00,37,2,1
Product_512,Description_512,161,00,40,2,2
Product_513,Description_513,42,00,36,4,2
Product_514,Description_514,305,00,67,4,2
Product_515,Description_515,34,00,34,1,2
Product_516,Description_516,272,00,63,2,2
Product_517,Description_517,410,00,62,3,2
Product_518,Description_518,151,00,47,1,1
Product_519,Description_519,235,00,39,2,2
Product_520,Description_520,338,00,30,1,1
Product_521,Description_521,324,00,97,2,1
Product_522,Description_522,231,00,27,2,1
Product_523,Description_523,80,00,83,4,2
Product_524,Description_524,431,00,54,1,1
Product_525,Description_525,403,00,89,3,1
Product_526,Description_526,373,00,21,4,1
Product_527,Description_527,481,00,15,4,1
Product_528,Description_528,491,00,57,1,1
Product_529,Description_529,178,00,44,3,2
Product_530,Description_530,154,00,90,4,2
Product_531,Description_531,11,00,24,1,2
Product_532,Description_532,374,00,29,4,2
Product_533,Description_533,389,00,25,3,1
Product_534,Description_534,242,00,62,1,2
Product_535,Description_535,326,00,21,4,2
Product_536,Description_536,429,00,82,1,2
Product_537,Description_537,239,00,22,3,2
Product_538,Description_538,99,00,34,3,2
Product_539,Description_539,420,00,69,1,2
Product_540,Description_540,69,00,64,3,2
Product_541,Description_541,125,00,72,2,2
Product_542,Description_542,405,00,34,1,1
Product_543,Description_543,467,00,46,3,2
Product_544,Description_544,416,00,29,1,1
Product_545,Description_545,65,00,57,2,1
Product_546,Description_546,27,00,87,1,2
Product_547,Description_547,65,00,32,1,2
Product_548,Description_548,337,00,62,4,2
Product_549,Description_549,28,00,80,1,1
Product_550,Description_550,123,00,85,2,2
Product_551,Description_551,119,00,92,2,2
Product_552,Description_552,481,00,87,3,2
Product_553,Description_553,55,00,11,4,2
Product_554,Description_554,23,00,17,4,2
Product_555,Description_555,160,00,74,1,2
Product_556,Description_556,128,00,23,2,2
Product_557,Description_557,178,00,27,3,2
Product_558,Description_558,480,00,75,3,2
Product_559,Description_559,322,00,54,1,2
Product_560,Description_560,133,00,4,2,1
Product_561,Description_561,160,00,38,4,2
Product_562,Description_562,335,00,88,4,1
Product_563,Description_563,81,00,35,4,2
Product_564,Description_564,311,00,38,3,1
Product_565,Description_565,465,00,21,2,1
Product_566,Description_566,401,00,83,2,1
Product_567,Description_567,148,00,27,1,1
Product_568,Description_568,70,00,3,1,2
Product_569,Description_569,416,00,55,4,2
Product_570,Description_570,406,00,63,1,2
Product_571,Description_571,477,00,32,4,2
Product_572,Description_572,498,00,30,2,1
Product_573,Description_573,238,00,74,3,2
Product_574,Description_574,495,00,9,1,2
Product_575,Description_575,109,00,85,4,1
Product_576,Description_576,297,00,9,2,1
Product_577,Description_577,174,00,52,2,1
Product_578,Description_578,299,00,82,4,2
Product_579,Description_579,362,00,51,4,2
Product_580,Description_580,199,00,96,4,2
Product_581,Description_581,303,00,25,2,2
Product_582,Description_582,412,00,62,1,1
Product_583,Description_583,454,00,75,1,1
Product_584,Description_584,176,00,43,3,1
Product_585,Description_585,421,00,48,3,2
Product_586,Description_586,101,00,28,4,1
Product_587,Description_587,15,00,17,2,2
Product_588,Description_588,263,00,25,1,2
Product_589,Description_589,59,00,12,3,2
Product_590,Description_590,166,00,95,2,1
Product_591,Description_591,487,00,5,1,1
Product_592,Description_592,155,00,35,2,2
Product_593,Description_593,364,00,72,4,1
Product_594,Description_594,75,00,72,3,2
Product_595,Description_595,330,00,61,3,2
Product_596,Description_596,120,00,14,3,2
Product_597,Description_597,464,00,4,3,1
Product_598,Description_598,101,00,28,3,2
Product_599,Description_599,161,00,29,4,2
Product_600,Description_600,451,00,38,1,2
Product_601,Description_601,371,00,89,4,2
Product_602,Description_602,55,00,8,4,1
Product_603,Description_603,84,00,12,2,1
Product_604,Description_604,192,00,58,2,2
Product_605,Description_605,496,00,40,4,1
Product_606,Description_606,280,00,78,2,2
Product_607,Description_607,451,00,37,2,2
Product_608,Description_608,274,00,40,4,1
Product_609,Description_609,249,00,63,1,1
Product_610,Description_610,351,00,50,1,1
Product_611,Description_611,488,00,33,2,2
Product_612,Description_612,179,00,71,2,1
Product_613,Description_613,490,00,91,3,1
Product_614,Description_614,46,00,31,4,2
Product_615,Description_615,241,00,48,2,1
Product_616,Description_616,32,00,47,1,1
Product_617,Description_617,494,00,84,2,2
Product_618,Description_618,453,00,98,2,1
Product_619,Description_619,220,00,44,1,2
Product_620,Description_620,191,00,46,3,1
Product_621,Description_621,320,00,76,2,2
Product_622,Description_622,295,00,36,4,1
Product_623,Description_623,351,00,2,1,2
Product_624,Description_624,262,00,41,3,1
Product_625,Description_625,180,00,49,3,1
Product_626,Description_626,440,00,7,1,1
Product_627,Description_627,458,00,84,3,1
Product_628,Description_628,348,00,65,3,2
Product_629,Description_629,241,00,3,3,1
Product_630,Description_630,460,00,24,1,1
Product_631,Description_631,160,00,24,3,1
Product_632,Description_632,326,00,75,2,2
Product_633,Description_633,115,00,27,4,2
Product_634,Description_634,463,00,95,3,2
Product_635,Description_635,32,00,8,1,1
Product_636,Description_636,402,00,61,1,2
Product_637,Description_637,457,00,46,4,1
Product_638,Description_638,149,00,41,4,1
Product_639,Description_639,246,00,18,3,1
Product_640,Description_640,182,00,21,4,2
Product_641,Description_641,210,00,6,2,1
Product_642,Description_642,19,00,4,4,1
Product_643,Description_643,239,00,20,1,2
Product_644,Description_644,479,00,62,2,2
Product_645,Description_645,129,00,8,2,1
Product_646,Description_646,373,00,47,1,2
Product_647,Description_647,74,00,39,2,1
Product_648,Description_648,413,00,45,4,2
Product_649,Description_649,61,00,70,4,1
Product_650,Description_650,475,00,50,2,2
Product_651,Description_651,422,00,19,2,1
Product_652,Description_652,329,00,46,1,2
Product_653,Description_653,55,00,84,2,1
Product_654,Description_654,141,00,82,3,2
Product_655,Description_655,428,00,51,2,1
Product_656,Description_656,112,00,64,3,2
Product_657,Description_657,270,00,97,4,2
Product_658,Description_658,11,00,28,3,2
Product_659,Description_659,77,00,92,3,1
Product_660,Description_660,259,00,9,3,2
Product_661,Description_661,381,00,33,4,2
Product_662,Description_662,169,00,90,4,2
Product_663,Description_663,424,00,73,3,1
Product_664,Description_664,424,00,47,4,1
Product_665,Description_665,116,00,40,4,2
Product_666,Description_666,360,00,35,1,1
Product_667,Description_667,472,00,9,3,2
Product_668,Description_668,99,00,12,1,1
Product_669,Description_669,189,00,10,4,1
Product_670,Description_670,422,00,76,1,2
Product_671,Description_671,342,00,93,1,2
Product_672,Description_672,16,00,29,4,2
Product_673,Description_673,15,00,53,1,1
Product_674,Description_674,472,00,43,2,2
Product_675,Description_675,179,00,75,4,2
Product_676,Description_676,78,00,80,3,1
Product_677,Description_677,193,00,87,2,1
Product_678,Description_678,23,00,58,2,1
Product_679,Description_679,159,00,11,2,1
Product_680,Description_680,383,00,71,3,2
Product_681,Description_681,62,00,89,3,2
Product_682,Description_682,287,00,99,2,2
Product_683,Description_683,424,00,42,4,2
Product_684,Description_684,239,00,69,4,2
Product_685,Description_685,140,00,1,2,2
Product_686,Description_686,11,00,29,1,2
Product_687,Description_687,405,00,6,4,2
Product_688,Description_688,455,00,15,3,2
Product_689,Description_689,77,00,87,1,1
Product_690,Description_690,228,00,67,2,2
Product_691,Description_691,149,00,92,4,2
Product_692,Description_692,358,00,51,2,2
Product_693,Description_693,69,00,84,2,2
Product_694,Description_694,334,00,50,1,1
Product_695,Description_695,374,00,26,3,2
Product_696,Description_696,356,00,82,2,1
Product_697,Description_697,126,00,74,1,2
Product_698,Description_698,150,00,44,4,2
